date,prophet,lstm,rf,gb,ensemble,is_forecast
2018-08-09,2889.4175950636536,4314.221819773912,6198.01,6198.01,4309.436583957635,False
2018-08-10,2891.199985074051,4314.222320978641,6198.01,6198.01,4310.149690323213,False
2018-08-13,2893.952794290888,4314.222070376277,6198.01,6198.01,4311.250738829239,False
2018-08-14,2897.181479205551,4314.221819773912,6198.01,6198.01,4312.542137614394,False
2018-08-15,2900.438489207016,4314.221819773912,6198.01,6198.01,4313.844941614981,False
2018-08-16,2901.6031417876293,4314.221819773912,6198.01,6198.01,4314.3108026472255,False
2018-08-17,2900.7430532252606,4314.221819773912,6198.01,6198.01,4313.966767222278,False
2018-08-20,2895.012583755289,4314.222070376277,6198.01,6198.01,4311.674654614999,False
2018-08-21,2895.1119295142444,4314.222070376277,6198.01,6198.01,4311.714392918581,False
2018-08-22,2895.0341569650263,4314.222070376277,6198.01,6198.01,4311.683283898894,False
2018-08-23,2892.641447777133,4314.221819773912,6198.01,6198.01,4310.726125043027,False
2018-08-24,2891.938025442769,4314.222070376277,6198.01,6198.01,4310.44483128999,False
2018-08-27,2885.136366404133,4314.221819773912,6198.01,6198.01,4307.724092493827,False
2018-08-28,2884.356224218718,4314.222070376277,6198.01,6198.01,4307.41211080037,False
2018-08-29,2883.1571477732423,4314.222070376277,6198.01,6198.01,4306.93248022218,False
2018-08-30,2879.4295037801485,4314.222070376277,6198.01,6198.01,4305.441422624943,False
2018-08-31,2877.1842609324585,4314.221819773912,6198.01,6198.01,4304.543250305157,False
2018-09-03,2864.8907483023727,4314.221819773912,6198.01,6198.01,4299.625845253123,False
2018-09-04,2862.089289116337,4314.222070376277,6198.01,6198.01,4298.505336759418,False
2018-09-05,2858.843798295678,4314.222070376277,6198.01,6198.01,4297.207140431155,False
2018-09-06,2853.1035940597467,4314.222070376277,6198.01,6198.01,4294.911058736782,False
2018-09-07,2848.8835812739744,4314.221819773912,6198.01,6198.01,4293.222978441763,False
2018-09-10,2831.38445845763,4314.222070376277,6198.01,6198.01,4286.223404495935,False
2018-09-11,2827.1559344007296,4314.222320978641,6198.01,6198.01,4284.532070053884,False
2018-09-12,2822.690511645484,4314.221819773912,6198.01,6198.01,4282.745750590368,False
2018-09-13,2815.982338805059,4314.222070376277,6198.01,6198.01,4280.062556634907,False
2018-09-14,2811.00748841885,4314.222070376277,6198.01,6198.01,4278.072616480423,False
2018-09-17,2792.745913452288,4314.222070376277,6198.01,6198.01,4270.767986493798,False
2018-09-18,2788.7075199099872,4314.222070376277,6198.01,6198.01,4269.152629076878,False
2018-09-19,2784.6497879210447,4314.222320978641,6198.01,6198.01,4267.5296114620105,False
2018-09-20,2778.5757208051605,4314.222070376277,6198.01,6198.01,4265.099909434947,False
2018-09-21,2774.386498158534,4314.222070376277,6198.01,6198.01,4263.424220376297,False
2018-09-24,2759.3153372468237,4314.221819773912,6198.01,6198.01,4257.395680830903,False
2018-09-25,2756.485518604644,4314.222070376277,6198.01,6198.01,4256.263828554741,False
2018-09-26,2753.6740167209723,4314.222070376277,6198.01,6198.01,4255.139227801272,False
2018-09-27,2748.876614531553,4314.221819773912,6198.01,6198.01,4253.220191744795,False
2018-09-28,2745.9247132988553,4314.222070376277,6198.01,6198.01,4252.039506432426,False
2018-10-01,2734.241095377859,4314.222070376277,6198.01,6198.01,4247.366059264027,False
2018-10-02,2732.340780771859,4314.221819773912,6198.01,6198.01,4246.605858240918,False
2018-10-03,2730.347153227964,4314.222320978641,6198.01,6198.01,4245.808557584778,False
2018-10-04,2726.264802307638,4314.222070376277,6198.01,6198.01,4244.175542035939,False
2018-10-05,2723.8897093999803,4314.222070376277,6198.01,6198.01,4243.225504872876,False
2018-10-08,2713.2500854701825,4314.221819773912,6198.01,6198.01,4238.969580120247,False
2018-10-09,2711.4747518368054,4314.222070376277,6198.01,6198.01,4238.259521847605,False
2018-10-10,2709.525735261723,4314.222070376277,6198.01,6198.01,4237.479915217573,False
2018-10-11,2705.4404514833705,4314.222070376277,6198.01,6198.01,4235.845801706231,False
2018-10-12,2703.0055333194214,4314.222070376277,6198.01,6198.01,4234.871834440652,False
2018-10-15,2692.163070616298,4314.221569171547,6198.01,6198.01,4230.5346989979835,False
2018-10-16,2690.3614799182765,4314.221819773912,6198.01,6198.01,4229.814137899484,False
2018-10-17,2688.4493757989035,4314.222070376277,6198.01,6198.01,4229.049371432445,False
2018-10-18,2684.49776779814,4314.222320978641,6198.01,6198.01,4227.4688034128485,False
2018-10-19,2682.2799896558076,4314.222070376277,6198.01,6198.01,4226.581616975206,False
2018-10-22,2672.8117814461857,4314.221819773912,6198.01,6198.01,4222.794258510648,False
2018-10-23,2671.7107461301725,4314.221819773912,6198.01,6198.01,4222.353844384243,False
2018-10-24,2670.6314484994587,4314.222070376277,6198.01,6198.01,4221.922200512667,False
2018-10-25,2667.653536577242,4314.222070376277,6198.01,6198.01,4220.73103574378,False
2018-10-26,2666.518879503218,4314.222070376277,6198.01,6198.01,4220.2771729141705,False
2018-10-29,2660.9210822906794,4314.222320978641,6198.01,6198.01,4218.038129209864,False
2018-10-30,2661.2500882243407,4314.222070376277,6198.01,6198.01,4218.16965640262,False
2018-10-31,2661.644883635793,4314.222070376277,6198.01,6198.01,4218.327574567201,False
2018-11-01,2660.1689794728745,4314.222070376277,6198.01,6198.01,4217.737212902033,False
2018-11-02,2660.5301626516843,4314.222070376277,6198.01,6198.01,4217.881686173557,False
2018-11-05,2659.193888569113,4314.221569171547,6198.01,6198.01,4217.34702617911,False
2018-11-06,2660.79259988919,4314.221819773912,6198.01,6198.01,4217.98658588785,False
2018-11-07,2662.3503872434835,4314.222070376277,6198.01,6198.01,4218.609776010277,False
2018-11-08,2661.9119559450032,4314.221819773912,6198.01,6198.01,4218.434328310175,False
2018-11-09,2663.171547439598,4314.222070376277,6198.01,6198.01,4218.9382400887225,False
2018-11-12,2663.5758900361197,4314.221819773912,6198.01,6198.01,4219.099901946622,False
